##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCF_036737935.1	PRJNA224116	SAMN28746591	DAINIO000000000.1	na	39152	39152	Methanococcus maripaludis	na	CTOTU39238	latest	Scaffold	Major	Full	2024-02-21	ASM3673793v1	Helmholtz Centre for Environmental Research - UFZ	GCA_036737935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/737/935/GCF_036737935.1_ASM3673793v1	derived from metagenome	na	na	haploid	archaea	1645821	1645121	33.000000	0	3	10	NCBI RefSeq	GCF_036737935.1-RS_2025_02_22	2025-02-22	1790	1738	40	37994269
GCF_036755165.1	PRJNA224116	SAMN28747582	DAIONM000000000.1	na	39152	39152	Methanococcus maripaludis	na	CTOTU39240	latest	Scaffold	Major	Full	2024-02-21	ASM3675516v1	Helmholtz Centre for Environmental Research - UFZ	GCA_036755165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/755/165/GCF_036755165.1_ASM3675516v1	derived from metagenome	na	na	haploid	archaea	1645977	1645177	33.000000	0	2	10	NCBI RefSeq	GCF_036755165.1-RS_2025_02_22	2025-02-22	1793	1741	40	37994269
GCF_036773865.1	PRJNA224116	SAMN28747995	DAIPCO000000000.1	na	39152	39152	Methanococcus maripaludis	na	CTOTU39244	latest	Scaffold	Major	Full	2024-02-22	ASM3677386v1	Helmholtz Centre for Environmental Research - UFZ	GCA_036773865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/773/865/GCF_036773865.1_ASM3677386v1	derived from metagenome	na	na	haploid	archaea	1645523	1644723	33.000000	0	2	10	NCBI RefSeq	GCF_036773865.1-RS_2025_02_22	2025-02-22	1792	1742	40	37994269
GCF_036807485.1	PRJNA224116	SAMN28749791	DAIRMP000000000.1	na	39152	39152	Methanococcus maripaludis	na	CTOTU39187	latest	Scaffold	Major	Full	2024-02-22	ASM3680748v1	Helmholtz Centre for Environmental Research - UFZ	GCA_036807485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/807/485/GCF_036807485.1_ASM3680748v1	derived from metagenome	na	na	haploid	archaea	1644604	1643904	33.000000	0	3	10	NCBI RefSeq	GCF_036807485.1-RS_2025_02_24	2025-02-24	1788	1741	37	37994269
GCF_040362185.1	PRJNA224116	SAMD00656837	BAAABJ000000000.1	na	39152	39152	Methanococcus maripaludis	strain=Mic1c10	na	latest	Scaffold	Major	Full	2024-04-25	ASM4036218v1	Nordcee, Department of Biology, University of Southern Denmark	GCA_040362185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/362/185/GCF_040362185.1_ASM4036218v1	na	na	na	haploid	archaea	1755831	1755431	33.000000	0	38	42	NCBI RefSeq	GCF_040362185.1-RS_2025_06_30	2025-06-30	1889	1813	48	na
GCF_015351715.1	PRJNA224116	SAMN16521388	JADIIN000000000.1	na	39441	39441	Methanobrevibacter arboriphilus	na	bin4	latest	Contig	Major	Full	2020-11-10	ASM1535171v1	Water Research Institute, IRSA-CNR	GCA_015351715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/351/715/GCF_015351715.1_ASM1535171v1	derived from metagenome	na	na	haploid	archaea	2347078	2347078	25.500000	0	83	83	NCBI RefSeq	GCF_015351715.1-RS_2024_05_03	2024-05-03	2048	1998	36	na
GCF_019669925.1	PRJNA224116	SAMD00171894	na	na	39441	39441	Methanobrevibacter arboriphilus	strain=SA	na	latest	Complete Genome	Major	Full	2021-06-02	ASM1966992v1	Soil Biology and Chemistry, Department of Applied Biosciences, Graduate School of Bioagricultural Sciences, Nagoya University	GCA_019669925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/669/925/GCF_019669925.1_ASM1966992v1	na	na	na	haploid	archaea	2393271	2393271	25.500000	1	1	1	NCBI RefSeq	GCF_019669925.1-RS_2025_06_10	2025-06-10	2069	2013	44	na
GCF_027925065.1	PRJNA224116	SAMD00564986	BSDK00000000.1	na	39441	39441	Methanobrevibacter arboriphilus	strain=A2	na	latest	Scaffold	Major	Full	2022-12-28	ASM2792506v1	AIST	GCA_027925065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/027/925/065/GCF_027925065.1_ASM2792506v1	na	na	na	haploid	archaea	2345601	2345320	25.500000	0	24	27	NCBI RefSeq	GCF_027925065.1-RS_2025_06_12	2025-06-12	1999	1939	41	na
GCF_002761295.1	PRJNA224116	SAMN05908879	na	reference genome	39664	39664	Methanohalophilus portucalensis	strain=FDF-1T	na	latest	Chromosome	Major	Full	2017-11-07	ASM276129v1	Macumba	GCA_002761295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/761/295/GCF_002761295.1_ASM276129v1	na	assembly from type material	na	haploid	archaea	2084975	2084275	42.000000	1	1	7	NCBI RefSeq	GCF_002761295.1-RS_2025_11_21	2025-11-21	2170	2089	58	na
GCF_003201835.2	PRJNA224116	SAMN09071529	na	reference genome	41673	41673	Acidianus brierleyi	strain=DSM 1651	na	latest	Complete Genome	Major	Full	2020-03-10	ASM320183v2	North Carolina State University	GCA_003201835.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/201/835/GCF_003201835.2_ASM320183v2	na	assembly from type material	na	haploid	archaea	2947244	2947244	32.000000	1	1	1	NCBI RefSeq	GCF_003201835.2-RS_2025_06_10	2025-06-10	3188	3001	51	na
GCF_009729035.1	PRJNA224116	SAMN09933091	na	reference genome	41675	41675	Stygiolobus azoricus	strain=FC6	na	latest	Complete Genome	Major	Full	2019-12-04	ASM972903v1	North Carolina State University	GCA_009729035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/729/035/GCF_009729035.1_ASM972903v1	na	assembly from type material	na	haploid	archaea	1987069	1987069	37.500000	1	1	1	NCBI RefSeq	GCF_009729035.1-RS_2025_03_28	2025-03-28	2204	2118	51	na
GCF_025449255.1	PRJNA224116	SAMN30825808	na	na	42879	42879	Methanococcus aeolicus	strain=PL15/HP	na	latest	Complete Genome	Major	Full	2022-09-28	ASM2544925v1	NEB	GCA_025449255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/449/255/GCF_025449255.1_ASM2544925v1	na	na	na	haploid	archaea	1677738	1677738	30.000000	1	1	1	NCBI RefSeq	GCF_025449255.1-RS_2025_11_24	2025-11-24	1658	1589	49	na
GCF_016415645.1	PRJNA224116	SAMN16220121	JADAML000000000.1	na	43080	43080	Saccharolobus islandicus	strain=REY15A	na	latest	Contig	Major	Full	2020-12-26	ASM1641564v1	Shandong University	GCA_016415645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/415/645/GCF_016415645.1_ASM1641564v1	na	na	na	haploid	archaea	2429154	2429154	35.000000	0	141	141	NCBI RefSeq	GCF_016415645.1-RS_2024_12_22	2024-12-22	2769	2539	51	33335523
GCF_016415665.1	PRJNA224116	SAMN16220128	JADAMM000000000.1	na	43080	43080	Saccharolobus islandicus	strain=REY15A EndoMS Knockout	na	latest	Contig	Major	Full	2020-12-26	ASM1641566v1	Shandong University	GCA_016415665.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/016/415/665/GCF_016415665.1_ASM1641566v1	na	na	na	haploid	archaea	2384613	2384613	35.000000	0	98	98	NCBI RefSeq	GCF_016415665.1-RS_2024_12_22	2024-12-22	2694	2499	51	33335523
GCF_017857535.1	PRJNA224116	SAMN17496017	JAFMCX000000000.1	na	43080	43080	Saccharolobus islandicus	na	CPBay_Spr30G08_30	latest	Contig	Major	Full	2021-04-08	ASM1785753v1	Clemson University	GCA_017857535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/857/535/GCF_017857535.1_ASM1785753v1	derived from metagenome	na	na	haploid	archaea	2186892	2186892	35.000000	0	145	145	NCBI RefSeq	GCF_017857535.1-RS_2024_12_22	2024-12-22	2511	2324	49	na
GCF_028472005.1	PRJNA224116	SAMN13512551	na	na	43080	43080	Saccharolobus islandicus	strain=HVE 10/4	na	latest	Complete Genome	Major	Full	2023-02-06	ASM2847200v1	Wuhan Unverisity	GCA_028472005.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/472/005/GCF_028472005.1_ASM2847200v1	na	na	na	haploid	archaea	2656591	2656591	35.000000	1	1	1	NCBI RefSeq	GCF_028472005.1-RS_2024_12_22	2024-12-22	2972	2618	51	na
GCF_050870885.1	PRJNA224116	SAMN48667873	na	na	43080	43080	Saccharolobus islandicus	strain=Y08.82.36	na	latest	Complete Genome	Major	Full	2025-06-12	Y08_82_36	University of Illinois Urbana-Champaign	GCA_050870885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/870/885/GCF_050870885.1_Y08_82_36	na	na	na	haploid	archaea	2633435	2633435	35.500000	1	1	1	NCBI RefSeq	GCF_050870885.1-RS_2025_06_11	2025-06-11	2973	2712	52	na
GCF_000747605.1	PRJNA224116	SAMN02866348	na	na	43687	43687	Metallosphaera sedula	strain=CuR1	na	latest	Chromosome	Major	Full	2014-09-04	ASM74760v1	University of Nebraska-Lincoln	GCA_000747605.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/747/605/GCF_000747605.1_ASM74760v1	na	na	na	haploid	archaea	2191492	2189588	46.000000	1	1	13	NCBI RefSeq	GCF_000747605.1-RS_2025_05_03	2025-05-03	2414	2335	51	25092032
GCF_001266655.1	PRJNA224116	SAMN03857118	na	na	43687	43687	Metallosphaera sedula	strain=ARS50-1	na	latest	Complete Genome	Major	Full	2015-08-12	ASM126665v1	University of Nebraska-Lincoln	GCA_001266655.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/266/655/GCF_001266655.1_ASM126665v1	na	na	na	haploid	archaea	2191533	2191533	46.000000	1	1	1	NCBI RefSeq	GCF_001266655.1-RS_2025_05_03	2025-05-03	2414	2339	51	26430052
GCF_001266675.1	PRJNA224116	SAMN03857124	na	na	43687	43687	Metallosphaera sedula	strain=ARS50-2	na	latest	Complete Genome	Major	Full	2015-08-12	ASM126667v1	University of Nebraska-Lincoln	GCA_001266675.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/266/675/GCF_001266675.1_ASM126667v1	na	na	na	haploid	archaea	2191529	2191529	46.000000	1	1	1	NCBI RefSeq	GCF_001266675.1-RS_2025_05_03	2025-05-03	2412	2337	51	26430052
GCF_001266695.1	PRJNA224116	SAMN03857129	na	na	43687	43687	Metallosphaera sedula	strain=ARS120-1	na	latest	Complete Genome	Major	Full	2015-08-12	ASM126669v1	University of Nebraska-Lincoln	GCA_001266695.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/266/695/GCF_001266695.1_ASM126669v1	na	na	na	haploid	archaea	2191531	2191531	46.000000	1	1	1	NCBI RefSeq	GCF_001266695.1-RS_2025_05_03	2025-05-03	2413	2338	51	26430052
GCF_001266715.1	PRJNA224116	SAMN03857133	na	na	43687	43687	Metallosphaera sedula	strain=ARS120-2	na	latest	Complete Genome	Major	Full	2015-08-12	ASM126671v1	University of Nebraska-Lincoln	GCA_001266715.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/266/715/GCF_001266715.1_ASM126671v1	na	na	na	haploid	archaea	2191533	2191533	46.000000	1	1	1	NCBI RefSeq	GCF_001266715.1-RS_2025_05_03	2025-05-03	2413	2338	51	26430052
GCF_001266735.1	PRJNA224116	SAMN03890864	na	na	43687	43687	Metallosphaera sedula	strain=SARC-M1	na	latest	Complete Genome	Major	Full	2015-08-12	ASM126673v1	University of Nebraska-Lincoln	GCA_001266735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/266/735/GCF_001266735.1_ASM126673v1	na	na	na	haploid	archaea	2191533	2191533	46.000000	1	1	1	NCBI RefSeq	GCF_001266735.1-RS_2025_05_03	2025-05-03	2411	2336	51	na
GCF_022427045.1	PRJNA224116	SAMN26144440	JAKUCK000000000.1	na	43687	43687	Metallosphaera sedula	strain=Drty7_1	na	latest	Contig	Major	Full	2022-02-28	ASM2242704v1	SUSTech Institude of Oceanography	GCA_022427045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/427/045/GCF_022427045.1_ASM2242704v1	na	na	na	haploid	archaea	2175192	2175192	46.000000	0	15	15	NCBI RefSeq	GCF_022427045.1-RS_2025_05_13	2025-05-13	2405	2326	50	na
GCF_023169565.1	PRJNA224116	SAMD00173596	na	na	43687	43687	Metallosphaera sedula	strain=MJ1HA	na	latest	Complete Genome	Major	Full	2022-02-22	ASM2316956v1	RIKEN	GCA_023169565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/169/565/GCF_023169565.1_ASM2316956v1	na	na	na	haploid	archaea	2283739	2283739	46.000000	1	1	1	NCBI RefSeq	GCF_023169565.1-RS_2025_09_12	2025-09-12	2500	2431	51	35993221
GCF_024239095.1	PRJNA224116	SAMN29490029	JANBVG000000000.1	na	43687	43687	Metallosphaera sedula	strain=Drty10-2	na	latest	Scaffold	Major	Full	2022-07-12	ASM2423909v1	SUSTech Institude of Oceanography	GCA_024239095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/239/095/GCF_024239095.1_ASM2423909v1	na	na	na	haploid	archaea	2114359	2114349	46.000000	0	14	15	NCBI RefSeq	GCF_024239095.1-RS_2024_11_18	2024-11-18	2408	2326	55	na
GCF_003992425.1	PRJNA224116	SAMN10653466	RZND00000000.1	na	43776	43776	Haloarcula argentinensis	strain=ZP1-2	na	latest	Contig	Major	Full	2019-01-04	ASM399242v1	Jiangsu University	GCA_003992425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/992/425/GCF_003992425.1_ASM399242v1	na	na	na	haploid	archaea	4111827	4111827	61.500000	0	12	12	NCBI RefSeq	GCF_003992425.1-RS_2024_10_23	2024-10-23	4145	4034	59	na
GCF_012726115.1	PRJNA224116	SAMN13475465	WOWA00000000.1	na	43776	43776	Haloarcula argentinensis	strain=pws5	na	latest	Scaffold	Major	Full	2020-04-23	ASM1272611v1	CSIR-Institue of Microbial Technology	GCA_012726115.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/012/726/115/GCF_012726115.1_ASM1272611v1	na	na	na	haploid	archaea	4013267	4012717	61.500000	0	11	29	NCBI RefSeq	GCF_012726115.1-RS_2025_06_01	2025-06-01	4153	4020	60	na
GCF_014647095.1	PRJNA224116	SAMD00245258	BMON00000000.1	na	43776	43776	Haloarcula argentinensis	strain=JCM 15759	na	latest	Contig	Major	Full	2020-09-12	ASM1464709v1	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	GCA_014647095.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/647/095/GCF_014647095.1_ASM1464709v1	na	assembly from heterotypic synonym type material	na	haploid	archaea	3774727	3774727	61.500000	0	38	38	NCBI RefSeq	GCF_014647095.1-RS_2025_02_02	2025-02-02	3896	3776	60	30832757
GCF_031624295.1	PRJNA224116	SAMN28856363	JAMQCP000000000.1	reference genome	43776	43776	Haloarcula argentinensis	strain=JCM 15760	na	latest	Contig	Major	Full	2023-09-18	ASM3162429v1	University of Sevilla, Spain	GCA_031624295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/031/624/295/GCF_031624295.1_ASM3162429v1	na	assembly from heterotypic synonym type material	na	haploid	archaea	4034304	4034304	61.500000	0	12	12	NCBI RefSeq	GCF_031624295.1-RS_2025_11_26	2025-11-26	4140	4008	81	na
GCF_032905985.1	PRJNA224116	SAMN36318582	JAUJFM000000000.1	na	43776	43776	Haloarcula argentinensis	strain=JCM 15760	na	latest	Contig	Major	Full	2023-10-20	ASM3290598v1	Jiangsu University	GCA_032905985.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/032/905/985/GCF_032905985.1_ASM3290598v1	na	assembly from heterotypic synonym type material	na	haploid	archaea	4033804	4033804	61.500000	0	12	12	NCBI RefSeq	GCF_032905985.1-RS_2024_11_26	2024-11-26	4143	4005	82	na
GCF_039539865.1	PRJNA224116	SAMD00645661	BAABDY000000000.1	na	43776	43776	Haloarcula argentinensis	strain=JCM 15760	na	latest	Contig	Major	Full	2024-02-23	ASM3953986v1	WFCC-MIRCEN World Data Centre for Microorganisms (WDCM)	GCA_039539865.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/539/865/GCF_039539865.1_ASM3953986v1	na	assembly from heterotypic synonym type material	na	haploid	archaea	4030046	4030046	61.500000	0	9	9	NCBI RefSeq	GCF_039539865.1-RS_2025_05_10	2025-05-10	4140	4005	80	30832757
GCF_900129775.1	PRJNA224116	SAMN05443636	FQWV00000000.1	reference genome	43928	43928	Halobaculum gomorrense	strain=DSM 9297	na	latest	Scaffold	Major	Full	2016-12-03	IMG-taxon 2695420988 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900129775.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/129/775/GCF_900129775.1_IMG-taxon_2695420988_annotated_assembly	na	assembly from type material	na	haploid	archaea	3208246	3207756	68.500000	0	16	18	NCBI RefSeq	GCF_900129775.1-RS_2025_11_21	2025-11-21	3279	3167	52	na
GCF_900114025.1	PRJNA224116	SAMN05443661	FORO00000000.1	na	44930	44930	Natronobacterium gregoryi	strain=SP2	na	latest	Contig	Major	Full	2016-11-02	IMG-taxon 2693429900 annotated assembly	DOE - JOINT GENOME INSTITUTE	GCA_900114025.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/114/025/GCF_900114025.1_IMG-taxon_2693429900_annotated_assembly	na	assembly from type material	na	haploid	archaea	3723468	3723468	62.500000	0	86	86	NCBI RefSeq	GCF_900114025.1-RS_2024_10_22	2024-10-22	3752	3552	54	na
GCF_018435085.1	PRJNA224116	SAMN16056089	JAHDOC000000000.1	na	45200	45200	Methanospirillum sp.	na	SL1-B37	latest	Contig	Major	Full	2021-05-21	SL1	University of California, Berkeley	GCA_018435085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/018/435/085/GCF_018435085.1_SL1	derived from metagenome	na	na	haploid	archaea	2646916	2646916	45.000000	0	356	356	NCBI RefSeq	GCF_018435085.1-RS_2024_07_13	2024-07-13	2757	2619	51	33688048
GCF_028679455.1	PRJNA224116	SAMN23830037	JAJRBM000000000.1	na	45200	45200	Methanospirillum sp.	na	OWC_0038	latest	Contig	Major	Full	2023-02-17	ASM2867945v1	The Ohio State University	GCA_028679455.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/679/455/GCF_028679455.1_ASM2867945v1	derived from metagenome	na	na	haploid	archaea	3098146	3098146	46.500000	0	462	462	NCBI RefSeq	GCF_028679455.1-RS_2024_07_19	2024-07-19	3202	3061	44	na
GCF_035360615.1	PRJNA224116	SAMN32863422	DAOSBC000000000.1	na	45200	45200	Methanospirillum sp.	na	AMR_MDS_1893	latest	Scaffold	Major	Full	2024-01-09	ASM3536061v1	CLUE-TERRA	GCA_035360615.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/360/615/GCF_035360615.1_ASM3536061v1	derived from metagenome	na	na	haploid	archaea	2579292	2578692	46.000000	0	398	422	NCBI RefSeq	GCF_035360615.1-RS_2024_06_09	2024-06-09	2796	2629	47	38289113
GCF_035406105.1	PRJNA224116	SAMN32865690	DAONKG000000000.1	na	45200	45200	Methanospirillum sp.	na	AMR_MDS_3719	latest	Scaffold	Major	Full	2024-01-09	ASM3540610v1	CLUE-TERRA	GCA_035406105.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/406/105/GCF_035406105.1_ASM3540610v1	derived from metagenome	na	na	haploid	archaea	2554344	2553954	46.500000	0	388	409	NCBI RefSeq	GCF_035406105.1-RS_2024_06_17	2024-06-17	2746	2578	44	38289113
GCF_035414165.1	PRJNA224116	SAMN32866102	DAONYD000000000.1	na	45200	45200	Methanospirillum sp.	na	AMR_MDS_4131	latest	Scaffold	Major	Full	2024-01-09	ASM3541416v1	CLUE-TERRA	GCA_035414165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/414/165/GCF_035414165.1_ASM3541416v1	derived from metagenome	na	na	haploid	archaea	2352715	2351095	45.500000	0	358	385	NCBI RefSeq	GCF_035414165.1-RS_2024_06_17	2024-06-17	2462	2332	39	38289113
GCF_035560735.1	PRJNA224116	SAMN37943755	DATMYY000000000.1	na	45200	45200	Methanospirillum sp.	na	SMAG_U13160	latest	Contig	Major	Full	2024-01-11	ASM3556073v1	Zhejiang University	GCA_035560735.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/560/735/GCF_035560735.1_ASM3556073v1	derived from metagenome	na	na	haploid	archaea	2575201	2575201	46.000000	0	417	417	NCBI RefSeq	GCF_035560735.1-RS_2025_04_07	2025-04-07	2514	2456	29	37951952
GCF_041859935.1	PRJNA224116	SAMN41038316	JBFLGE000000000.1	na	45200	45200	Methanospirillum sp.	na	SJF001	latest	Contig	Major	Full	2024-09-06	ASM4185993v1	Institute of Microbiology	GCA_041859935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/859/935/GCF_041859935.1_ASM4185993v1	derived from metagenome	na	na	haploid	archaea	2446853	2446853	42.000000	0	24	24	NCBI RefSeq	GCF_041859935.1-RS_2024_09_08	2024-09-08	2452	2357	54	na
GCF_053578395.1	PRJNA224116	SAMN42448605	JBHKXI000000000.1	na	45200	45200	Methanospirillum sp.	na	LiM14	latest	Contig	Major	Full	2025-11-21	ASM5357839v1	Max Planck Institute for Marine Microbiology	GCA_053578395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/578/395/GCF_053578395.1_ASM5357839v1	derived from metagenome	na	na	haploid	archaea	3622126	3622126	42.000000	0	7	7	NCBI RefSeq	GCF_053578395.1-RS_2025_11_22	2025-11-22	3570	3465	70	41185132
GCF_026627365.1	PRJNA224116	SAMN31719907	JAPNVC000000000.1	na	47303	47303	Sulfuracidifex metallicus	na	CF.Pisc.bin.24	latest	Contig	Major	Full	2022-12-04	ASM2662736v1	Rutgers University	GCA_026627365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/627/365/GCF_026627365.1_ASM2662736v1	derived from metagenome	na	na	haploid	archaea	1855889	1855889	38.500000	0	117	117	NCBI RefSeq	GCF_026627365.1-RS_2025_04_16	2025-04-16	2063	1958	52	na
GCF_005222525.1	PRJNA224116	SAMN09071532	na	reference genome	47304	47304	Metallosphaera prunae	strain=Ron 12/II	na	latest	Complete Genome	Major	Full	2019-05-07	ASM522252v1	North Carolina State University	GCA_005222525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/222/525/GCF_005222525.1_ASM522252v1	na	assembly from type material	na	haploid	archaea	2202576	2202576	46.000000	1	1	1	NCBI RefSeq	GCF_005222525.1-RS_2025_11_23	2025-11-23	2421	2348	51	na
GCF_026627265.1	PRJNA224116	SAMN31719906	JAPNVB000000000.1	na	47304	47304	Metallosphaera prunae	na	CF.Pisc.bin.23	latest	Contig	Major	Full	2022-12-04	ASM2662726v1	Rutgers University	GCA_026627265.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/627/265/GCF_026627265.1_ASM2662726v1	derived from metagenome	na	na	haploid	archaea	2318063	2318063	46.500000	0	74	74	NCBI RefSeq	GCF_026627265.1-RS_2025_04_16	2025-04-16	2589	2499	52	na
GCF_001639285.1	PRJNA224116	SAMN04867344	LWMW00000000.1	reference genome	47311	47311	Methanobrevibacter cuticularis	strain=DSM 11139	na	latest	Contig	Major	Full	2016-04-29	ASM163928v1	Goettingen Genomics Laboratory	GCA_001639285.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/639/285/GCF_001639285.1_ASM163928v1	na	assembly from type material	na	haploid	archaea	2608702	2608702	27.000000	0	169	169	NCBI RefSeq	GCF_001639285.1-RS_2025_11_20	2025-11-20	2199	2125	40	na
GCF_003385755.1	PRJNA224116	SAMN08769621	QREL00000000.1	reference genome	49339	49339	Methanothermobacter defluvii	strain=DSM 7466	na	latest	Scaffold	Major	Full	2018-08-14	ASM338575v1	DOE Joint Genome Institute	GCA_003385755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/385/755/GCF_003385755.1_ASM338575v1	na	assembly from type material	na	haploid	archaea	1709557	1709370	49.500000	0	5	7	NCBI RefSeq	GCF_003385755.1-RS_2025_11_21	2025-11-21	1823	1768	43	na
GCF_001639295.1	PRJNA224116	SAMN04867343	LWMV00000000.1	reference genome	49547	49547	Methanobrevibacter curvatus	strain=DSM 11111	na	latest	Contig	Major	Full	2016-04-29	ASM163929v1	Goettingen Genomics Laboratory	GCA_001639295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/639/295/GCF_001639295.1_ASM163929v1	na	assembly from type material	na	haploid	archaea	2414608	2414608	25.500000	0	232	232	NCBI RefSeq	GCF_001639295.1-RS_2025_11_21	2025-11-21	2074	1970	39	na
GCF_002214585.1	PRJNA224116	SAMN03324163	na	reference genome	49899	49899	Thermococcus profundus	strain=DT 5432	na	latest	Complete Genome	Major	Full	2017-07-05	ASM221458v1	Ecole Normale Superieure de Lyon	GCA_002214585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/214/585/GCF_002214585.1_ASM221458v1	na	assembly from type material	na	haploid	archaea	2043143	2043143	53.000000	2	2	2	NCBI RefSeq	GCF_002214585.1-RS_2025_11_20	2025-11-20	2181	2125	52	na
GCF_017873335.1	PRJNA224116	SAMN18244794	JAGGKB000000000.1	reference genome	49900	49900	Thermococcus stetteri	strain=DSM 5262	na	latest	Contig	Major	Full	2021-04-08	ASM1787333v1	DOE Joint Genome Institute	GCA_017873335.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/873/335/GCF_017873335.1_ASM1787333v1	na	assembly from type material	na	haploid	archaea	2034780	2034780	52.500000	0	7	7	NCBI RefSeq	GCF_017873335.1-RS_2025_11_21	2025-11-21	2340	2216	53	na
GCF_002973515.1	PRJNA224116	SAMN06296050	PVBU00000000.1	na	51203	51203	Methanohalophilus euhalobius	strain=DSM 10369	na	latest	Contig	Major	Full	2018-03-06	ASM297351v1	DOE Joint Genome Institute	GCA_002973515.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/973/515/GCF_002973515.1_ASM297351v1	na	na	na	haploid	archaea	1871939	1871939	42.500000	0	28	28	NCBI RefSeq	GCF_002973515.1-RS_2024_10_22	2024-10-22	2058	1958	53	na
